5_008230,여,2.7,993,11,11.155632225173395
5_007792,여,0.33,690,5.46,11.468178954001262
5_000210,남,1.09,764,6.734,11.536827389600067
5_002013,남,8.8,1354,21.6,11.781929574606886
5_008409,여,3.5,961,11,11.91093651362557
5_000001,남,0.04,543,3.52,11.938314187940266
5_009021,여,6.1,1234,18.3,12.017683726086123
5_009466,여,7.9,1289,20.5,12.338092627177149
5_000653,남,3.4,960,11.4,12.369791666666668
5_007753,여,0.16,568,4,12.398333663955565
5_010137,여,10.4,1347,22.8,12.566075234415173
5_000864,남,4.4,1030,13.4,12.630785182392309
5_009827,여,9.2,1313,21.8,12.645238980515312
5_000451,남,2.4,900,10.3,12.716049382716049
5_008484,여,3.9,1007,12.9,12.72127875477418
5_008932,여,5.8,1093,15.2,12.72340243870794
5_001439,남,6.6,1186,17.9,12.72575778688408
5_008448,여,3.7,991,12.5,12.728074364538159
5_007729,여,0.06,538,3.7,12.783129033595444
5_001381,남,6.4,1108,15.7,12.788515424415797
5_008724,여,4.9,1004,12.9,12.797415914033111
5_009256,여,7,1205,18.6,12.809696802741
5_002063,남,9,1324,22.5,12.83531548635007
5_009905,여,9.5,1251,20.1,12.843442272560852
5_000819,남,4.2,1112,15.9,12.858418301330156
5_001228,남,5.8,1118,16.1,12.880783151615617
5_007732,여,0.07,536,3.71,12.913510804188013
5_001027,남,5,1109,15.9,12.928080033759365
5_008581,여,4.4,967,12.1,12.93994475392182
5_001156,남,5.5,1073,14.9,12.941565790490818
5_007726,여,0.05,520,3.5,12.94378698224852
5_000551,남,3,926,11.1,12.944968722156652
5_008684,여,4.8,1080,15.1,12.945816186556925
5_009526,여,8.1,1261,20.6,12.954988959959655
5_008457,여,3.8,970,12.2,12.966308853225636
5_001334,남,6.2,1127,16.5,12.990806445644496
5_000604,남,3.2,928,11.2,13.005350772889416
5_009131,여,6.5,1230,19.7,13.02134972569238
5_007917,여,0.92,713,6.63,13.041707893282243
5_000965,남,4.8,1061,14.7,13.058297748731702
5_009853,여,9.3,1283,21.5,13.061262179626985
5_001155,남,5.5,1136,16.9,13.095739932553066
5_002361,남,10.3,1263,20.9,13.102060032510662
5_010279,여,11,1414,26.2,13.103957395133332
5_010049,여,10.1,1374,24.8,13.136455996050586
