ID,성별,나이,키 ,몸무게 ,BMI
20_여자_1863,여자,38,1582,52.2,
20_여자_1864,여자,37,1645,69,
20_여자_1865,여자,38,1706,56.5,
20_여자_1866,여자,43,1645,75.1,
20_여자_1867,여자,27,1581,47.5,
20_여자_1868,여자,34,1575,57.7,
20_여자_1869,여자,29,1696,84.7,
20_여자_1870,여자,37,1569,45.7,
20_여자_1871,여자,37,1539,48.3,
20_여자_1873,여자,35,1727,91.4,
20_여자_1874,여자,38,1572,50.2,
20_여자_1875,여자,34,1652,51.3,
20_여자_1876,여자,34,1616,53.8,
20_여자_1877,여자,30,1618,58.1,
20_여자_1878,여자,40,1553,50,
20_여자_1879,여자,36,1600,49.8,
20_남자_1882,남자,29,1742,68.6,
20_남자_1883,남자,25,1850,76.9,
20_남자_1885,남자,31,1726,76,
20_남자_1886,남자,28,1783,121,
20_남자_1888,남자,32,1737,76.6,
20_남자_1891,남자,32,1749,67.2,
20_남자_1893,남자,26,1638,56.2,
20_남자_1895,남자,43,1776,79.8,
20_남자_1898,남자,41,1776,69.4,
20_남자_1899,남자,26,1601,68.2,
20_남자_1900,남자,25,1810,78.3,
20_남자_1901,남자,40,1761,94.9,
20_남자_1902,남자,27,1806,84.6,
20_남자_1903,남자,27,1674,61.6,
20_남자_1904,남자,27,1785,83.5,
20_남자_1907,남자,28,1756,78.7,
20_남자_1908,남자,33,1853,85.8,
20_남자_1909,남자,30,1795,81.1,
20_남자_1910,남자,31,1820,97.6,
20_남자_1912,남자,26,1820,75.6,
20_남자_1913,남자,31,1804,91.9,
20_남자_1915,남자,27,1737,70.9,
20_남자_1916,남자,27,1759,77.7,
20_남자_1917,남자,33,1764,67.6,
20_남자_1920,남자,31,1733,65.6,
20_남자_1921,남자,43,1818,82.3,
20_남자_1922,남자,24,1713,75.7,
20_남자_1923,남자,24,1665,63.8,
20_남자_1924,남자,24,1674,68.7,
20_남자_1925,남자,25,1733,68.8,
20_남자_1926,남자,25,1772,76.4,
20_남자_1927,남자,24,1761,82.2,
20_남자_1929,남자,22,1682,61.8,
20_남자_1930,남자,32,1759,78.5,
20_남자_1931,남자,28,1831,82.7,
20_남자_1932,남자,25,1740,65.5,
20_남자_1934,남자,31,1833,99,
20_남자_1935,남자,40,1695,74.2,
20_남자_1936,남자,27,1650,73,
20_남자_1937,남자,28,1856,87.4,
20_남자_1938,남자,20,1569,74.2,
20_남자_1939,남자,24,1677,59.6,
20_남자_1940,남자,24,1700,61,
20_남자_1941,남자,34,1738,77.7,
20_남자_1942,남자,34,1771,71.1,
20_남자_1945,남자,31,1728,72.7,
20_남자_1946,남자,25,1780,94.6,
20_남자_1947,남자,29,1748,72.5,
20_남자_1948,남자,25,1751,78.9,
20_남자_1949,남자,22,1765,106.3,
20_남자_1950,남자,23,1758,66,
20_남자_1951,남자,30,1772,73.4,
20_남자_1952,남자,23,1827,90.1,
20_남자_1953,남자,23,1788,81.5,
20_남자_1954,남자,33,1790,102.6,
20_남자_1955,남자,31,1735,89,
20_남자_1956,남자,25,1746,78,
20_여자_1957,여자,29,1547,59.8,
20_여자_1958,여자,35,1638,60.8,
20_여자_1959,여자,31,1606,59,
20_여자_1960,여자,38,1577,48.6,
20_여자_1961,여자,43,1554,56.5,
20_여자_1962,여자,31,1703,64.9,
20_여자_1963,여자,42,1662,50.3,
20_여자_1964,여자,36,1609,51.4,
20_여자_1965,여자,35,1549,59.4,
20_여자_1966,여자,30,1590,51.6,
20_여자_1967,여자,36,1583,48.6,
20_여자_1968,여자,33,1618,69.2,
20_여자_1969,여자,28,1524,62.5,
20_여자_1970,여자,34,1641,54.4,
20_여자_1971,여자,37,1665,64.4,
20_여자_1972,여자,38,1614,55.3,
20_여자_1973,여자,34,1585,54.3,
20_여자_1974,여자,35,1627,55.9,
20_여자_1975,여자,36,1656,51.1,
20_여자_1976,여자,40,1567,69.2,
20_여자_1977,여자,31,1645,67.9,
20_여자_1978,여자,37,1641,59.6,
20_여자_1979,여자,27,1575,47,
20_여자_1980,여자,26,1672,57.7,
20_여자_1981,여자,30,1585,81.1,
20_여자_1982,여자,30,1581,55.5,
20_여자_1983,여자,32,1522,52.8,
20_여자_1984,여자,32,1649,49.5,
20_여자_1985,여자,32,1530,49,
20_여자_1986,여자,39,1554,54.9,
20_여자_1987,여자,41,1654,50.8,
20_여자_1988,여자,32,1697,58.2,
20_여자_1989,여자,34,1690,59,
20_여자_1990,여자,39,1514,60.5,
20_여자_1991,여자,39,1525,50.5,
20_여자_1992,여자,34,1597,58.7,
20_여자_1993,여자,30,1595,54.1,
20_여자_1994,여자,35,1612,54.5,
20_여자_1995,여자,37,1649,57.8,
20_여자_1996,여자,25,1548,53.2,
20_여자_1997,여자,27,1646,67,
20_여자_1998,여자,36,1721,56.4,
20_여자_1999,여자,33,1619,70.4,
20_여자_2000,여자,39,1593,49.4,
20_여자_2001,여자,38,1600,65.2,
20_여자_2002,여자,33,1612,58.5,
20_여자_2005,여자,32,1660,71.1,
20_여자_2006,여자,35,1603,57.2,
20_여자_2007,여자,29,1649,67.8,
20_여자_2008,여자,28,1635,90.3,
20_여자_2009,여자,34,1607,45.1,
20_여자_2010,여자,40,1586,54.3,
20_여자_2011,여자,36,1538,44.6,
20_여자_2012,여자,29,1589,53.4,
20_여자_2013,여자,31,1537,53.7,
20_여자_2014,여자,34,1674,47.4,
20_여자_2015,여자,36,1630,51.6,
20_여자_2016,여자,37,1572,50.7,
20_여자_2017,여자,38,1605,68.6,
20_여자_2018,여자,32,1522,45.5,
20_여자_2019,여자,32,1562,77.3,
20_여자_2020,여자,39,1583,64.4,
20_여자_2021,여자,37,1726,59.6,
20_여자_2022,여자,35,1725,71,
20_여자_2023,여자,34,1608,60,
20_여자_2024,여자,32,1649,51.5,
20_여자_2025,여자,29,1560,49.9,
20_여자_2026,여자,37,1580,81.9,
20_여자_2027,여자,32,1595,56.5,
20_여자_2028,여자,31,1502,47.2,
20_여자_2030,여자,40,1627,54.6,
20_여자_2031,여자,35,1594,48.5,
20_여자_2032,여자,36,1699,59.5,
20_여자_2033,여자,41,1678,60.7,
20_여자_2034,여자,37,1601,66.2,
20_여자_2035,여자,27,1568,72,
20_여자_2036,여자,41,1612,84.4,
20_여자_2037,여자,30,1591,51.8,
20_여자_2038,여자,32,1578,42.4,
20_여자_2039,여자,28,1644,58.2,
20_여자_2040,여자,28,1619,57.9,
20_여자_2041,여자,30,1631,47.6,
20_여자_2042,여자,30,1572,58.3,
20_여자_2043,여자,29,1624,52.5,
20_여자_2044,여자,38,1560,64,
20_여자_2045,여자,28,1594,53.7,
20_여자_2046,여자,25,1602,49.3,
20_여자_2047,여자,37,1589,49.4,
20_여자_2048,여자,42,1590,55,
20_여자_2049,여자,33,1611,65.3,
20_여자_2050,여자,43,1577,64.4,
20_여자_2051,여자,40,1560,66.7,
20_여자_2052,여자,35,1670,66.1,
20_여자_2053,여자,34,1655,53.9,
20_남자_2055,남자,29,1648,61,
20_남자_2056,남자,31,1765,69.3,
20_남자_2057,남자,21,1771,72.5,
20_남자_2058,남자,22,1634,62.6,
20_남자_2059,남자,21,1673,70.7,
20_남자_2060,남자,44,1746,60.3,
20_남자_2061,남자,44,1711,74.6,
20_남자_2062,남자,23,1740,56.1,
20_남자_2063,남자,23,1747,66.2,
20_남자_2064,남자,22,1732,79.3,
20_남자_2065,남자,29,1715,66.5,
20_남자_2066,남자,20,1861,80.4,
20_남자_2067,남자,44,1689,98.5,
20_남자_2068,남자,24,1621,64,
20_남자_2069,남자,33,1761,70.9,
20_남자_2070,남자,43,1765,84.1,
20_남자_2072,남자,32,1720,70.6,
20_남자_2074,남자,31,1660,73.8,
20_남자_2075,남자,29,1747,82.3,
20_남자_2076,남자,22,1784,68.4,
20_남자_2077,남자,25,1766,66.6,
20_남자_2078,남자,32,1830,83.6,
20_남자_2080,남자,25,1664,72.6,
20_남자_2081,남자,32,1718,77.6,
20_남자_2082,남자,32,1763,88.3,
20_남자_2083,남자,32,1766,90.8,
20_남자_2084,남자,30,1828,86.4,
20_남자_2085,남자,24,1660,63.5,
20_남자_2086,남자,29,1852,75.5,
20_남자_2087,남자,41,1673,69.9,
20_남자_2088,남자,32,1841,75.4,
20_남자_2089,남자,24,1707,73.6,
20_남자_2090,남자,43,1758,78.1,
20_남자_2091,남자,31,1693,92.3,
20_남자_2092,남자,33,1703,60.5,
20_남자_2094,남자,23,1665,49.3,
20_남자_2097,남자,44,1709,62.6,
20_남자_2098,남자,20,1786,57.3,
20_남자_2099,남자,32,1765,92.5,
20_남자_2100,남자,41,1692,71.2,
20_남자_2101,남자,25,1789,87.5,
20_남자_2104,남자,35,1768,80.6,
20_남자_2105,남자,21,1744,76.3,
20_남자_2106,남자,31,1664,64.7,
20_남자_2107,남자,23,1734,59.8,
20_남자_2108,남자,23,1877,87.4,
20_남자_2109,남자,27,1668,58.7,
20_남자_2110,남자,36,1758,75.2,
20_남자_2111,남자,24,1736,67.9,
20_남자_2112,남자,34,1769,63.5,
20_남자_2113,남자,32,1741,81.7,
20_남자_2114,남자,38,1744,89.7,
20_남자_2115,남자,30,1696,62.7,
20_남자_2116,남자,31,1790,76.8,
20_남자_2117,남자,33,1736,71.8,
20_남자_2118,남자,42,1671,63.1,
20_남자_2119,남자,35,1691,81.5,
20_남자_2120,남자,39,1764,89.7,
20_남자_2121,남자,41,1712,66.2,
20_남자_2122,남자,28,1779,72.5,
20_여자_2123,여자,30,1622,53.3,
20_여자_2124,여자,37,1567,48.3,
20_여자_2125,여자,40,1647,52.9,
20_여자_2127,여자,29,1632,57.1,
20_여자_2128,여자,34,1647,52.7,
20_여자_2129,여자,39,1715,57,
20_여자_2130,여자,30,1629,69,
20_여자_2131,여자,29,1676,71.8,
20_여자_2132,여자,31,1594,65,
20_여자_2133,여자,33,1810,62.5,
20_여자_2134,여자,33,1636,63.6,
20_여자_2135,여자,32,1627,58.8,
20_여자_2136,여자,31,1564,64.1,
20_여자_2138,여자,37,1681,60,
20_여자_2139,여자,38,1570,51.5,
20_여자_2141,여자,27,1545,48.4,
20_여자_2142,여자,31,1772,43.6,
20_여자_2143,여자,34,1687,54.6,
20_여자_2144,여자,34,1519,54.4,
20_여자_2145,여자,36,1712,63.8,
20_여자_2146,여자,43,1599,50.7,
20_여자_2147,여자,32,1641,59.9,
20_여자_2148,여자,33,1661,55,
20_여자_2149,여자,25,1546,45.5,
20_여자_2150,여자,28,1610,58,
20_여자_2151,여자,34,1508,45.6,
20_여자_2152,여자,38,1747,50.5,
20_여자_2153,여자,28,1610,53.1,
20_여자_2155,여자,31,1529,57.6,
20_여자_2156,여자,42,1578,52.1,
20_여자_2157,여자,37,1710,66.8,
20_여자_2158,여자,35,1595,56.3,
20_여자_2159,여자,39,1610,51.3,
20_여자_2160,여자,36,1584,75.6,
20_여자_2161,여자,38,1618,57.6,
20_여자_2162,여자,37,1594,52.5,
20_여자_2163,여자,25,1590,50.5,
20_여자_2164,여자,37,1588,53.6,
20_여자_2165,여자,38,1635,52.4,
20_여자_2166,여자,35,1665,63.8,
20_여자_2167,여자,29,1682,48.6,
20_여자_2169,여자,34,1555,46.2,
20_여자_2170,여자,38,1677,54.6,
20_여자_2171,여자,28,1636,56.6,
20_여자_2172,여자,26,1595,68.3,
20_여자_2173,여자,24,1508,45.4,
20_여자_2174,여자,40,1575,64.1,
20_여자_2175,여자,26,1761,56.1,
20_여자_2176,여자,23,1585,60.9,
20_여자_2177,여자,39,1677,93.2,
20_여자_2178,여자,41,1533,53.4,
20_여자_2179,여자,37,1625,46.4,
20_여자_2180,여자,39,1582,54,
20_여자_2181,여자,41,1670,59.9,
20_여자_2182,여자,34,1701,75.4,
20_여자_2183,여자,36,1666,64.1,
20_여자_2184,여자,39,1721,64.1,
20_여자_2185,여자,29,1620,75.1,
20_여자_2186,여자,33,1671,62.1,
20_여자_2187,여자,41,1597,50,
20_여자_2188,여자,44,1581,58.4,
20_여자_2189,여자,37,1599,55.4,
20_여자_2190,여자,27,1543,69.6,
20_여자_2191,여자,29,1615,58.2,
20_여자_2192,여자,35,1620,56.2,
20_여자_2193,여자,36,1585,46.9,
20_여자_2194,여자,23,1680,66.7,
20_여자_2195,여자,44,1524,60.2,
20_여자_2196,여자,20,1538,61.5,
20_여자_2197,여자,29,1545,46.2,
20_여자_2198,여자,40,1610,47.4,
20_여자_2199,여자,38,1569,45.1,
20_여자_2200,여자,28,1597,57.4,
20_여자_2201,여자,31,1609,45.3,
20_여자_2202,여자,23,1616,64.5,
20_여자_2203,여자,42,1618,56.3,
20_여자_2204,여자,28,1633,67.5,
20_여자_2205,여자,29,1516,53.3,
20_여자_2206,여자,36,1637,57.9,
20_여자_2207,여자,31,1678,57.3,
20_여자_2208,여자,21,1625,63.9,
20_여자_2209,여자,22,1633,67.8,
20_여자_2210,여자,42,1622,74.5,
20_여자_2211,여자,34,1548,70.8,
20_여자_2212,여자,32,1521,48.8,
20_여자_2213,여자,40,1594,50.5,
20_여자_2214,여자,40,1656,67,
20_여자_2215,여자,26,1582,47.3,
20_여자_2216,여자,41,1551,57.8,
20_여자_2217,여자,36,1673,57.5,
20_여자_2218,여자,43,1591,41.3,
20_여자_2219,여자,40,1674,71,
20_여자_2220,여자,37,1614,55.6,
20_여자_2221,여자,36,1607,85.4,
20_여자_2222,여자,37,1619,47.6,
20_여자_2223,여자,30,1586,47.6,
20_남자_2224,남자,39,1842,90.7,
20_남자_2225,남자,25,1756,67.7,
20_남자_2226,남자,41,1731,90.7,
20_남자_2227,남자,24,1701,75.1,
20_남자_2228,남자,22,1851,83.6,
20_남자_2229,남자,22,1703,65.3,
20_남자_2230,남자,30,1795,118.8,
20_남자_2231,남자,23,1843,71.1,
20_남자_2232,남자,25,1679,67.3,
20_남자_2233,남자,34,1777,72,
20_남자_2234,남자,29,1754,75.3,
20_남자_2235,남자,37,1715,76.8,
20_남자_2236,남자,39,1710,89.3,
20_남자_2237,남자,24,1770,86.4,
20_남자_2238,남자,32,1781,69.2,
20_남자_2239,남자,31,1732,72.2,
20_남자_2240,남자,21,1794,72.1,
