ID,성별,나이,키,몸무게,BMI
5_000155,남,0.76,725,9.81,
5_000156,남,0.77,723,8.96,
5_000157,남,0.77,765,8.53,
5_000158,남,0.77,685,10.26,
5_000159,남,0.78,745,8.19,
5_000160,남,0.78,755,9.95,
5_000161,남,0.79,715,9.83,
5_000162,남,0.8,759,10.91,
5_000163,남,0.8,726,9.5,
5_000164,남,0.8,746,8.7,
5_000165,남,0.8,743,8.98,
5_000166,남,0.8,720,9.82,
5_000167,남,0.8,747,10.19,
5_000168,남,0.8,713,11.21,
5_000169,남,0.8,738,9.8,
5_000170,남,0.8,755,9.77,
5_000171,남,0.8,712,9.1,
5_000172,남,0.81,767,9.215,
5_000173,남,0.81,718,10.01,
5_000174,남,0.83,750,8.62,
5_000175,남,0.83,760,10.9,
5_000176,남,0.84,782,9.77,
5_000177,남,0.85,722,8.3,
5_000178,남,0.86,779,10.75,
5_000179,남,0.86,783,10.38,
5_000180,남,0.86,777,12.3,
5_000181,남,0.87,745,11.4,
5_000182,남,0.87,747,11,
5_000183,남,0.88,760,9.74,
5_000184,남,0.89,719,9.8,
5_000185,남,0.9,828,10.85,
5_000186,남,0.9,718,11.7,
5_000187,남,0.91,805,10.05,
5_000188,남,0.91,730,9.69,
5_000189,남,0.93,721,9.62,
5_000190,남,0.93,772,10.08,
5_000191,남,0.95,816,11.43,
5_000192,남,0.95,754,10.82,
5_000193,남,0.95,765,10.62,
5_000194,남,0.97,757,9.25,
5_000195,남,0.98,764,11.45,
5_000196,남,0.98,819,11.07,
5_000197,남,0.98,769,11.95,
5_000198,남,0.99,725,8.9,
5_000199,남,0.99,747,12,
5_000200,남,0.99,757,11.2,
5_000201,남,0.99,742,10.14,
5_000202,남,0.99,767,10.37,
5_000203,남,1.01,815,10.91,
5_000204,남,1.03,745,10.45,
5_000205,남,1.03,770,8.14,
5_000206,남,1.03,745,10.85,
5_000207,남,1.04,770,9.67,
5_000208,남,1.05,760,8.85,
5_000209,남,1.06,774,8.77,
5_000210,남,1.09,764,6.734,
5_000211,남,1.09,829,11.1,
5_000212,남,1.12,835,14,
5_000213,남,1.13,800,13,
5_000214,남,1.14,755,9.9,
5_000215,남,1.14,787,11.14,
5_000216,남,1.15,771,9.94,
5_000217,남,1.16,815,10.47,
5_000218,남,1.18,812,11.23,
5_000219,남,1.18,850,12.52,
5_000220,남,1.18,752,9.03,
5_000221,남,1.18,812,12.7,
5_000222,남,1.18,777,10.56,
5_000223,남,1.19,775,9.94,
5_000224,남,1.2,807,11.52,
5_000225,남,1.21,759,11.3,
5_000226,남,1.21,803,11.5,
5_000227,남,1.22,789,12.97,
5_000228,남,1.25,805,10.6,
5_000229,남,1.27,825,10.85,
5_000230,남,1.3,830,11.6,
5_000231,남,1.3,767,9.21,
5_000232,남,1.3,795,10.14,
5_000233,남,1.31,769,10,
5_000234,남,1.32,804,12.7,
5_000235,남,1.32,750,10.18,
5_000236,남,1.32,805,10.44,
5_000237,남,1.33,825,11.27,
5_000238,남,1.34,799,11.09,
5_000239,남,1.37,737,9.55,
5_000240,남,1.38,822,10.08,
5_000241,남,1.38,845,12,
5_000242,남,1.38,823,11.36,
5_000243,남,1.39,835,11.79,
5_000244,남,1.41,817,11.6,
5_000245,남,1.42,897,14.17,
5_000246,남,1.43,850,13.5,
5_000247,남,1.44,825,10.77,
5_000248,남,1.46,819,9.36,
5_000249,남,1.46,870,11.2,
5_000250,남,1.48,812,11.03,
5_000251,남,1.48,829,10.78,
5_000252,남,1.49,807,12.36,
5_000253,남,1.5,764,10.7,
5_000254,남,1.5,834,11,
5_000255,남,1.5,804,11.3,
5_000256,남,1.5,846,11.9,
5_000257,남,1.5,839,11.7,
5_000258,남,1.5,783,11.1,
5_000259,남,1.5,842,13.2,
5_000260,남,1.5,876,14.2,
5_000261,남,1.5,805,10.2,
5_000262,남,1.5,844,13.1,
5_000263,남,1.5,811,10.5,
5_000264,남,1.5,840,11.7,
5_000265,남,1.5,842,12.9,
5_000266,남,1.6,818,11,
5_000267,남,1.6,784,10.5,
5_000268,남,1.6,853,13.5,
5_000269,남,1.6,864,11.4,
5_000270,남,1.6,879,12.1,
5_000271,남,1.6,849,14.5,
5_000272,남,1.6,840,12.6,
5_000273,남,1.6,855,12.8,
