ID,성별,나이,키,몸무게,BMI
223,남자,1,846,154,
224,남자,1,814,131,
225,남자,1,806,104,
226,남자,1,832,105,
227,남자,1,732,96,
228,남자,1,826,105,
229,남자,1,790,110,
230,남자,1,814.9583078,116.6455123,
231,남자,1,752,89,
232,남자,1,832,105,
233,남자,1,844,125,
234,남자,1,783,90,
235,남자,1,812,130,
236,남자,1,876,135,
237,남자,1,864,125,
238,남자,1,859,140,
239,남자,1,736,70,
240,남자,1,860,110,
241,남자,1,871,115,
242,남자,1,779,100,
243,남자,1,877,130,
244,남자,1,800,120,
245,남자,1,739,95,
246,남자,1,882,130,
247,남자,1,,,
248,남자,1,755,95,
249,남자,1,826,120,
250,남자,1,850,135,
251,남자,1,750,100,
252,남자,1,795,115,
253,남자,1,836,105,
254,남자,1,810,100,
255,남자,1,838,125,
256,남자,1,888,130,
257,남자,1,740,94,
258,남자,1,780,95,
259,남자,1,772,112,
260,남자,1,720,83,
261,남자,1,975.8823327,140,
262,남자,1,845,120,
263,남자,1,950.0500484,130,
264,남자,1,938,145,
265,남자,1,780,105,
266,남자,1,832,115,
267,남자,1,854,120,
268,남자,2,920.9353069,130,
269,남자,2,905,125,
270,남자,2,886,110,
271,남자,2,973,140,
272,남자,2,941,125,
273,남자,2,1084.34959,170,
274,남자,2,927,120,
275,남자,2,984.2032098,178.2214129,
276,남자,2,923,140,
277,남자,2,913,130,
278,남자,2,965,165,
279,남자,2,915,130,
280,남자,2,1078.386516,185,
281,남자,2,903,125,
282,남자,2,948,130,
283,남자,2,781.5480574,105,
284,남자,2,928,155,
285,남자,2,970,160,
286,남자,2,874,110,
287,남자,2,815,110,
288,남자,2,871,110,
289,남자,2,886.679445,120,
290,남자,2,1005,160,
291,남자,2,895,125,
292,남자,2,863,119,
293,남자,2,860,120,
294,남자,2,889,120,
295,남자,2,896,120,
296,남자,2,1084.29462,175,
297,남자,2,797,100,
298,남자,2,910,140,
299,남자,2,975,115,
300,남자,2,900,120,
301,남자,2,968,155,
302,남자,2,987,178.9058499,
303,남자,2,915,145,
304,남자,2,873,120,
305,남자,2,952,150,
306,남자,2,898,115,
307,남자,2,922,140,
308,남자,2,810,115,
309,남자,2,890,132,
310,남자,2,1047.776194,170,
311,남자,2,1021,160,
312,남자,2,914,145,
313,남자,2,903,120,
314,남자,2,981,150,
315,남자,2,830,130,
316,남자,2,899,120,
317,남자,2,914,130,
318,남자,2,788.2571716,105,
319,남자,2,862,130,
320,남자,2,1049,190,
321,남자,2,886,125,
322,남자,2,902,115,
323,남자,2,944,150,
324,남자,2,908,140,
325,남자,2,878,130,
326,남자,2,927,130,
327,남자,2,954,140,
328,남자,2,833,100,
329,남자,2,910,152,
330,남자,2,933,140,
331,남자,2,924,119.1725722,
332,남자,2,900,140,
333,남자,2,963,150,
334,남자,2,822,115,
335,남자,2,911,120,
336,남자,2,944,150,
337,남자,2,901,120,
338,남자,2,961,135,
339,남자,2,943,140,
340,남자,2,899,150,
341,남자,2,975,160,
342,남자,2,1055,170,
343,남자,2,768.4621951,100,
344,남자,2,830,115,
345,남자,2,1007,150,
346,남자,2,888,140,
347,남자,2,878,115,
348,남자,2,948,140,
349,남자,2,912,170,
350,남자,2,1025,155,
351,남자,2,880,110,
352,남자,2,902,140,
353,남자,2,890,130,
354,남자,2,881,130,
355,남자,2,870,150,
356,남자,2,945,140,
357,남자,2,922,130,
358,남자,2,900,130,
359,남자,2,933,140,
360,남자,2,892,125.1452156,
361,남자,2,794,125,
362,남자,2,959,150,
363,남자,2,924,150,
364,남자,2,984,155,
365,남자,2,1024,169.9234982,
366,남자,2,920,150,
367,남자,2,876,130,
368,남자,2,938,130,
369,남자,2,994,140,
370,남자,2,924,125,
371,남자,2,943,155,
372,남자,2,915,150,
373,남자,2,1021,160,
374,남자,2,875,125,
375,남자,2,900,130,
376,남자,2,930,160,
377,남자,2,867,130,
378,남자,2,830,110,
379,남자,2,958,150,
380,남자,2,851,130,
381,남자,2,956,155,
382,남자,2,897,150,
383,남자,2,893,120,
384,남자,2,906,150,
385,남자,2,849,115,
386,남자,2,808,100,
387,남자,2,980,170,
388,남자,2,917,90,
389,남자,2,938,165,
390,남자,2,783.6318561,80,
391,남자,2,951,150,
392,남자,2,861,110,
393,남자,2,950,145,
394,남자,2,803,112,
395,남자,2,941,180,
396,남자,2,943,150,
397,남자,2,979,150,
398,남자,2,988,150,
399,남자,2,887,130,
400,남자,2,968,160,
401,남자,2,991,145,
402,남자,2,968,155,
403,남자,2,982,150,
404,남자,2,981,145,
405,남자,2,863,125,
406,남자,2,932,140,
407,남자,2,785,100,
408,남자,2,991,140,
409,남자,2,943,135,
410,남자,2,956,145,
411,남자,2,896,130,
412,남자,2,937,170,
413,남자,2,934,165,
414,남자,2,950,150,
415,남자,2,904,140,
416,남자,2,976,160,
417,남자,2,920,135,
418,남자,2,912,125,
419,남자,2,1000,150,
420,남자,2,1038,180,
421,남자,2,914,150,
422,남자,2,855,125,
423,남자,2,963,150,
424,남자,2,900,130,
425,남자,2,962,150,
426,남자,2,899,125,
427,남자,2,921,125,
428,남자,2,941,130,
429,남자,2,862,105,
430,남자,2,909,135,
431,남자,2,854,110,
432,남자,2,924,135,
433,남자,2,960,145,
434,남자,2,970,160,
435,남자,2,918,140,
436,남자,2,847,100,
437,남자,2,905,130,
438,남자,2,924,145,
439,남자,2,940,145,
440,남자,2,914,115,
441,남자,2,954,195,
442,남자,2,889,130,
443,남자,2,877,125,
444,남자,2,923,139,
445,남자,2,932,125,
446,남자,2,918,190,
447,남자,2,952,120,
448,남자,2,879,130,
449,남자,2,1015,180,
450,남자,2,874,135,
451,남자,2,832,100,
452,남자,2,1045,155,
453,남자,2,810,110,
454,남자,2,928,145,
455,남자,2,855,110,
456,남자,2,879,120,
457,남자,2,840,125,
458,남자,2,859,120,
459,남자,2,909,135,
460,남자,2,859,110,
461,남자,2,954,160,
462,남자,2,979,150,
463,남자,2,952,150,
464,남자,2,855,120,
465,남자,2,917,140,
466,남자,2,890,135,
467,남자,2,893,130,
468,남자,3,1012,150,
469,남자,3,950,145,
470,남자,3,1006,155,
471,남자,3,1115.500161,209.8544809,
472,남자,3,994,150,
473,남자,3,997,155,
474,남자,3,1038,180,
475,남자,3,1026,180,
476,남자,3,1001,160,
477,남자,3,922,130,
478,남자,3,984,150,
479,남자,3,1005,170,
480,남자,3,1055,175,
481,남자,3,1142.341413,180,
482,남자,3,1050,190,
483,남자,3,994,150,
484,남자,3,990,150,
485,남자,3,1048,170,
486,남자,3,987,140,
487,남자,3,1028,160,
488,남자,3,973,150,
489,남자,3,1023,165,
490,남자,3,1012,180,
491,남자,3,982,160,
492,남자,3,900.1830813,125,
493,남자,3,1166.699801,211.5217378,
494,남자,3,1000,150,
495,남자,3,1141.378643,214.2142758,
496,남자,3,1078,200,
497,남자,3,1028,160,
498,남자,3,980,147.8302991,
499,남자,3,1096.135359,206.8668078,
500,남자,3,968,150,
501,남자,3,1128.862028,211.1260718,
502,남자,3,1021,160,
503,남자,3,1084,175,
504,남자,3,1055,190,
505,남자,3,1037,160,
506,남자,3,1001,170,
507,남자,3,878.9920255,135,
508,남자,3,1075.355438,200,
509,남자,3,1139.363434,194.2472767,
510,남자,3,1000,165,
511,남자,3,960,160,
512,남자,3,1011,150,
513,남자,3,1038,175,
514,남자,3,942,130,
515,남자,3,991,150,
516,남자,3,926,135,
517,남자,3,1054,170,
518,남자,3,978,160,
519,남자,3,992,135,
520,남자,3,983,151,
521,남자,3,1039,155,
522,남자,3,976,140,
523,남자,3,982,155,
524,남자,3,944,145,
525,남자,3,972,140,
526,남자,3,988,140,
527,남자,3,1066,150,
528,남자,3,987,165,
529,남자,3,1058,180,
530,남자,3,955,135,
531,남자,3,940,150,
532,남자,3,967,150,
533,남자,3,930,155,
534,남자,3,933,140,
535,남자,3,962,180.8418637,
536,남자,3,1001,180,
537,남자,3,1002,170,
538,남자,3,975,140,
539,남자,3,1016,150,
540,남자,3,998,175,
541,남자,3,1037,155,
542,남자,3,1022,170.8184924,
543,남자,3,1063.028517,170,
544,남자,3,984,155,
545,남자,3,944,145,
546,남자,3,979,145,
547,남자,3,949,180,
548,남자,3,981,145,
549,남자,3,992,155,
550,남자,3,986,140,
551,남자,3,1003,150,
552,남자,3,1004,160,
553,남자,3,1027,170,
554,남자,3,1008,145,
555,남자,3,974,145,
556,남자,3,976,140,
557,남자,3,971,155,
558,남자,3,943,125,
559,남자,3,1009,165,
560,남자,3,994,155,
561,남자,3,1003,150,
562,남자,3,1006,155,
563,남자,3,949,155,
564,남자,3,1032,175,
565,남자,3,1016,165,
566,남자,3,921,125,
567,남자,3,986,145,
568,남자,3,997,165,
569,남자,3,955,135,
570,남자,3,1016,150,
571,남자,3,1021,135,
572,남자,3,1005,160,
573,남자,3,956,130,
574,남자,3,1021,180,
575,남자,3,1044,165,
576,남자,3,953,145,
577,남자,3,972,140,
578,남자,3,974,150,
579,남자,3,994,165,
580,남자,3,1035,170,
581,남자,3,998,155,
582,남자,3,997,140,
583,남자,3,968,150,
584,남자,3,949,145,
585,남자,3,964,135,
586,남자,3,1021,165,
587,남자,3,1072,170,
588,남자,3,948,135,
589,남자,3,1062,180,
590,남자,3,1038,170,
591,남자,3,971,140,
592,남자,3,1028,140,
593,남자,3,970,155,
594,남자,3,1028,165,
595,남자,3,937,140,
596,남자,3,1017,175,
597,남자,3,1005,162,
598,남자,3,970,145,
599,남자,3,951,135,
600,남자,3,1035,190,
601,남자,3,955,135,
602,남자,3,1021,150,
603,남자,3,960,140,
604,남자,3,977,131,
605,남자,3,1004,160,
606,남자,3,1091,180,
607,남자,3,929,120,
608,남자,3,921,135,
609,남자,3,970,155,
610,남자,3,952,145,
611,남자,3,949,145,
612,남자,3,1025,170,
613,남자,3,1048,185,
614,남자,3,982,140,
615,남자,3,1014,150,
616,남자,3,983,150,
617,남자,3,941,140,
618,남자,3,1000,155,
619,남자,3,991,155,
620,남자,3,976,150,
621,남자,3,958,160,
622,남자,3,1010,155,
623,남자,3,995,130,
624,남자,3,1056,190,
625,남자,3,973,140,
626,남자,3,988,151,
627,남자,3,954,160,
628,남자,3,882.5275096,115,
629,남자,3,1014,170,
630,남자,3,1044,195,
631,남자,3,1059,170,
632,남자,3,950,160,
633,남자,3,977,156,
634,남자,3,989,145,
635,남자,3,980,155,
636,남자,3,1008,155,
637,남자,3,986,140,
638,남자,3,992,175,
639,남자,3,1034,180,
640,남자,3,1054,170,
641,남자,3,959,145,
642,남자,3,908,120,
643,남자,3,1016,185,
644,남자,3,987,145,
645,남자,3,991,155,
646,남자,3,929,130,
647,남자,3,1045.706665,190,
648,남자,3,972,170,
649,남자,3,1143.011319,210.3119196,
650,남자,3,1082,180,
651,남자,3,1050,180,
652,남자,3,1010,165,
653,남자,3,974,145,
654,남자,3,1111.600894,175,
655,남자,3,1004,150,
656,남자,3,978,150,
657,남자,3,959,150,
658,남자,3,985,145,
659,남자,3,986,155,
660,남자,3,978,160,
661,남자,3,973,150,
662,남자,3,1002,130,
663,남자,3,1040,200,
664,남자,3,1019,155,
665,남자,3,1002,165,
666,남자,3,1028,180,
667,남자,3,1000,165,
668,남자,3,1012,145,
669,남자,3,989,160,
670,남자,3,1012,160,
671,남자,3,974,155,
672,남자,3,996,160,
673,남자,3,987,170,
674,남자,3,1039,200,
675,남자,3,952.2457076,155,
676,남자,3,1100.982139,190,
677,남자,3,1067,160,
678,남자,3,1134.017551,206.935038,
